 54.5979746617,-2.9556864593,390.43,2016-06-05 03:43:06
 54.6013258304,-2.9549243767,374.57,2016-06-05 03:43:36
 54.6000226121,-2.9529050086,366.88,2016-06-05 03:44:06
 54.5996651240,-2.9512367584,367.36,2016-06-05 03:44:36
 54.6003431361,-2.9471891373,352.94,2016-06-05 03:45:06
 54.6018914413,-2.9430301208,333.23,2016-06-05 03:45:36
 54.6016391460,-2.9405863769,325.06,2016-06-05 03:46:06
 54.6022010688,-2.9383903183,292.38,2016-06-05 03:46:36
 54.6034762077,-2.9354219511,288.05,2016-06-05 03:47:06
 54.6043481771,-2.9336821195,295.26,2016-06-05 03:47:36
 54.6051424462,-2.9323582817,302.95,2016-06-05 03:48:06
 54.6062043495,-2.9298878834,294.30,2016-06-05 03:48:36
 54.6075788140,-2.9250910878,273.15,2016-06-05 03:49:06
 54.6087503526,-2.9213904776,264.50,2016-06-05 03:49:36
 54.6074777283,-2.9213656671,266.42,2016-06-05 03:50:06
 54.6054228209,-2.9229497630,262.10,2016-06-05 03:50:36
 54.6046314854,-2.9206730705,266.42,2016-06-05 03:51:06
 54.6042728238,-2.9182537179,264.02,2016-06-05 03:51:36
 54.6036850009,-2.9147098493,268.35,2016-06-05 03:52:06
 54.6032413468,-2.9133549985,277.00,2016-06-05 03:52:36
 54.6028435417,-2.9122542031,286.13,2016-06-05 03:53:06
 54.6026326530,-2.9112323653,295.74,2016-06-05 03:53:36
 54.6025702078,-2.9099607468,304.39,2016-06-05 03:54:06
 54.6028811764,-2.9082057439,310.16,2016-06-05 03:54:36
 54.6029670071,-2.9066835903,318.33,2016-06-05 03:55:06
 54.6029377542,-2.9047923815,324.58,2016-06-05 03:55:36
 54.6027589682,-2.9029973131,331.79,2016-06-05 03:56:06
 54.6026203316,-2.9013294820,339.48,2016-06-05 03:56:36
 54.6025822777,-2.9002002720,346.69,2016-06-05 03:57:06
 54.6025296394,-2.8989158291,354.38,2016-06-05 03:57:36
 54.6023823693,-2.8974499181,361.59,2016-06-05 03:58:06
 54.6026123688,-2.8962895274,369.76,2016-06-05 03:58:36
 54.6031190548,-2.8954153787,378.42,2016-06-05 03:59:06
 54.6036024392,-2.8941728454,384.66,2016-06-05 03:59:36
 54.6027831919,-2.8895691689,342.37,2016-06-05 04:00:06
 54.6029122733,-2.8836620227,290.46,2016-06-05 04:00:36
 54.6047266200,-2.8806028794,271.71,2016-06-05 04:01:06
 54.6058334503,-2.8762422781,268.83,2016-06-05 04:01:36
 54.6054211445,-2.8720716946,267.86,2016-06-05 04:02:06
 54.6062056907,-2.8677628934,253.93,2016-06-05 04:02:36
 54.6056280937,-2.8630501684,231.33,2016-06-05 04:03:06
 54.6018906031,-2.8598528076,191.92,2016-06-05 04:03:36
 54.6006681863,-2.8553420026,186.63,2016-06-05 04:04:06
 54.6020264737,-2.8516767640,175.10,2016-06-05 04:04:36
 54.6033746190,-2.8471821360,165.48,2016-06-05 04:05:06
 54.6045445651,-2.8423942253,150.58,2016-06-05 04:05:37
 54.6064885799,-2.8397815023,150.58,2016-06-05 04:06:07
 54.6080525592,-2.8372510895,149.62,2016-06-05 04:06:37
 54.6098357253,-2.8354008682,149.62,2016-06-05 04:07:07
 54.6110020671,-2.8329916578,149.62,2016-06-05 04:07:37
 54.6109853033,-2.8298924491,154.43,2016-06-05 04:08:07
 54.6108711418,-2.8263381030,149.14,2016-06-05 04:08:37
 54.6119561791,-2.8235996515,149.14,2016-06-05 04:09:07
 54.6122975741,-2.8210134152,150.10,2016-06-05 04:09:37
 54.6126595046,-2.8180287033,152.99,2016-06-05 04:10:07
 54.6119828336,-2.8161761351,159.24,2016-06-05 04:10:37
 54.6111781709,-2.8143975791,164.52,2016-06-05 04:11:07
 54.6105345245,-2.8130361065,171.25,2016-06-05 04:11:37
 54.6098724380,-2.8121679090,179.90,2016-06-05 04:12:07
 54.6091926657,-2.8115078341,188.56,2016-06-05 04:12:37
 54.6080287546,-2.8113046568,192.88,2016-06-05 04:13:07
 54.6073333081,-2.8101687413,200.09,2016-06-05 04:13:37
 54.6065601613,-2.8092418704,208.26,2016-06-05 04:14:07
 54.6056372300,-2.8092332371,214.99,2016-06-05 04:14:37
 54.6047552023,-2.8082735930,222.68,2016-06-05 04:15:07
 54.6042625979,-2.8082419932,228.93,2016-06-05 04:15:37
 54.6036395710,-2.8080489580,236.62,2016-06-05 04:16:07
 54.6031183004,-2.8077902086,245.27,2016-06-05 04:16:37
 54.6024883166,-2.8075055592,252.48,2016-06-05 04:17:07
 54.6017730050,-2.8072310518,259.21,2016-06-05 04:17:37
 54.6010296978,-2.8068749886,267.38,2016-06-05 04:18:07
 54.6003925055,-2.8063911851,274.11,2016-06-05 04:18:37
 54.5998659544,-2.8056462016,280.84,2016-06-05 04:19:07
 54.5993864257,-2.8050175589,288.53,2016-06-05 04:19:37
 54.5986954216,-2.8042525426,296.22,2016-06-05 04:20:07
 54.5980915055,-2.8035531566,303.91,2016-06-05 04:20:37
 54.5975267328,-2.8025660198,311.12,2016-06-05 04:21:07
 54.5967267640,-2.8019205295,315.45,2016-06-05 04:21:37
 54.5949147642,-2.8023151495,315.93,2016-06-05 04:22:07
 54.5936950296,-2.8024913371,321.70,2016-06-05 04:22:37
 54.5928083081,-2.8025013115,327.47,2016-06-05 04:23:07
 54.5926162787,-2.8042875789,329.39,2016-06-05 04:23:37
 54.5925986767,-2.8060430009,333.71,2016-06-05 04:24:07
 54.5924216509,-2.8082837351,336.12,2016-06-05 04:24:37
 54.5920024719,-2.8105574101,333.23,2016-06-05 04:25:07
 54.5912729949,-2.8134251945,330.35,2016-06-05 04:25:37
 54.5908787940,-2.8156784177,333.23,2016-06-05 04:26:07
 54.5903418493,-2.8167732619,329.87,2016-06-05 04:26:37
 54.5904381573,-2.8173871525,336.60,2016-06-05 04:27:07
 54.5901563577,-2.8205849323,326.99,2016-06-05 04:27:37
 54.5892221108,-2.8240532801,318.81,2016-06-05 04:28:07
 54.5878872089,-2.8268996906,306.80,2016-06-05 04:28:37
 54.5869290736,-2.8304075170,291.90,2016-06-05 04:29:07
 54.5855903998,-2.8342087939,269.31,2016-06-05 04:29:37
 54.5844103117,-2.8372383490,240.95,2016-06-05 04:30:07
 54.5834047347,-2.8406875022,229.41,2016-06-05 04:30:37
 54.5818800665,-2.8433697112,226.05,2016-06-05 04:31:07
 54.5805320051,-2.8462090809,214.99,2016-06-05 04:31:37
 54.5794482250,-2.8480237629,208.74,2016-06-05 04:32:07
 54.5782544743,-2.8490669746,211.63,2016-06-05 04:32:37
 54.5773444511,-2.8505102545,216.91,2016-06-05 04:33:07
 54.5764639322,-2.8518146463,217.40,2016-06-05 04:33:37
 54.5752468798,-2.8551266715,210.67,2016-06-05 04:34:07
 54.5732678287,-2.8584918380,186.15,2016-06-05 04:34:37
 54.5711245760,-2.8591633961,185.19,2016-06-05 04:35:07
 54.5690709259,-2.8594065551,179.90,2016-06-05 04:35:37
 54.5678807795,-2.8589805868,183.27,2016-06-05 04:36:07
 54.5672259852,-2.8600373771,172.69,2016-06-05 04:36:37
 54.5667954907,-2.8609367553,178.94,2016-06-05 04:37:07
 54.5667412598,-2.8615554236,188.08,2016-06-05 04:37:37
 54.5667805709,-2.8635565192,190.96,2016-06-05 04:38:07
 54.5654224511,-2.8657004423,191.92,2016-06-05 04:38:37
 54.5650477801,-2.8664573282,199.61,2016-06-05 04:39:07
 54.5646557584,-2.8673750628,205.38,2016-06-05 04:39:37
 54.5643787365,-2.8683417477,212.59,2016-06-05 04:40:07
 54.5640077535,-2.8693953529,217.88,2016-06-05 04:40:37
 54.5637159795,-2.8705057036,223.64,2016-06-05 04:41:07
 54.5636460744,-2.8712376114,231.33,2016-06-05 04:41:37
